Table 1
Table W-4.  Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,
Income Quintiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom,"12,708","3,107","4,210","13,079",9.7%,"13,096","3,074","4,707","14,468",9.9%,"13,758","3,185","4,994","15,907",10.1%,"14,472","3,292","4,671","15,379",8.5%,"14,450","3,180","5,154","16,389",9.2%,"14,988","3,258","8,463","27,574",11.5%,"15,127","3,449","6,361","21,936",8.7%,"15,291","3,644","5,652","20,595",10.7%,"15,240","3,679","5,332","19,615",10.2%,"15,128","3,541","5,562","19,693",9.8%,"14,871","3,588","5,988","21,485",9.7%,,,
Lower-Middle,"12,709","3,533","5,335","18,849",13.9%,"13,098","3,647","5,060","18,451",12.7%,"13,760","3,719","5,393","20,056",12.7%,"14,474","3,893","6,749","26,275",14.6%,"14,453","3,573","5,748","20,542",11.6%,"14,989","3,913","7,076","27,687",11.6%,"15,130","4,171","7,094","29,591",11.7%,"15,293","4,026","5,948","23,946",12.4%,"15,242","4,086","6,381","26,072",13.6%,"15,130","4,027","6,328","25,485",12.7%,"14,868","4,125","7,452","30,741",13.9%,,,
Middle,"12,708","3,912","6,191","24,222",17.9%,"13,097","3,925","6,256","24,559",16.9%,"13,759","3,990","6,743","26,901",17.1%,"14,473","4,287","7,064","30,283",16.8%,"14,452","3,932","6,718","26,412",14.9%,"14,988","4,303","7,889","33,946",14.2%,"15,128","4,401","9,050","39,825",15.8%,"15,293","4,354","7,248","31,557",16.3%,"15,243","4,470","6,890","30,797",16.0%,"15,131","4,405","7,523","33,140",16.5%,"14,874","4,495","8,347","37,523",17.0%,,,
Upper-Middle,"12,710","4,166","7,652","31,877",23.5%,"13,097","4,014","7,700","30,908",21.2%,"13,758","4,364","8,204","35,804",22.8%,"14,473","4,549","8,789","39,979",22.2%,"14,452","4,273","8,835","37,752",21.3%,"14,988","4,576","10,946","50,089",20.9%,"15,130","4,742","10,557","50,066",19.9%,"15,293","4,638","8,651","40,122",20.8%,"15,241","4,662","8,912","41,548",21.6%,"15,128","4,723","9,313","43,987",21.9%,"14,870","4,801","10,416","50,003",22.6%,,,
Top,"12,710","4,172","11,367","47,429",35.0%,"13,099","4,149","13,823","57,344",39.3%,"13,761","4,374","13,410","58,663",37.3%,"14,474","4,649","14,748","68,562",38.0%,"14,452","4,399","17,321","76,188",43.0%,"14,989","4,845","20,634","99,973",41.8%,"15,131","4,971","22,250","110,613",43.9%,"15,294","4,816","16,011","77,113",39.9%,"15,243","4,991","14,884","74,281",38.6%,"15,132","5,072","15,517","78,706",39.2%,"14,875","4,927","16,517","81,379",36.8%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Value (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $100,000","19,328","5,493","4,214","23,148",17.1%,"19,024","5,319","4,463","23,740",16.3%,"19,902","5,293","4,196","22,211",14.1%,"17,792","4,712","3,948","18,599",10.3%,"16,921","4,264","4,140","17,654",10.0%,"17,170","4,354","6,257","27,241",11.4%,"15,928","4,011","5,105","20,475",8.1%,"18,514","4,870","4,773","23,243",12.0%,"19,130","5,212","4,535","23,638",12.3%,"19,076","4,912","5,014","24,629",12.3%,"18,201","4,978","5,099","25,378",11.5%,,,
"$100-149,999","15,360","4,696","5,933","27,859",20.6%,"17,331","4,861","5,999","29,160",20.0%,"15,619","4,435","6,239","27,669",17.6%,"16,139","4,488","5,624","25,239",14.0%,"13,297","3,499","5,442","19,040",10.7%,"11,750","3,123","6,837","21,352",8.9%,"11,381","3,241","6,011","19,481",7.7%,"11,612","3,350","6,185","20,720",10.7%,"13,772","3,995","6,124","24,468",12.7%,"13,094","3,824","6,281","24,015",11.9%,"11,819","3,426","6,706","22,976",10.4%,,,
"$150-199,999","9,193","2,802","6,795","19,041",14.1%,"9,411","2,822","6,823","19,251",13.2%,"10,624","3,177","6,719","21,347",13.6%,"10,149","3,020","7,013","21,177",11.7%,"11,779","3,256","7,091","23,086",13.0%,"10,020","2,891","6,716","19,418",8.1%,"8,203","2,405","6,837","16,446",6.5%,"11,644","3,444","6,750","23,247",12.0%,"11,323","3,355","7,969","26,734",13.9%,"11,606","3,492","7,364","25,715",12.8%,"10,457","3,226","7,934","25,599",11.6%,,,
"$200-299,999","10,862","3,279","9,045","29,657",21.9%,"11,954","3,493","9,284","32,425",22.2%,"12,375","3,651","9,211","33,627",21.4%,"14,125","4,215","9,311","39,243",21.7%,"12,499","3,487","9,372","32,684",18.4%,"11,890","3,477","9,449","32,857",13.7%,"14,498","4,347","9,266","40,283",16.0%,"13,346","3,940","8,759","34,513",17.9%,"14,014","4,130","9,101","37,590",19.5%,"13,359","4,024","9,206","37,049",18.4%,"13,409","4,217","9,220","38,877",17.6%,,,
"$300-399,999","4,484","1,363","12,340","16,816",12.4%,"3,521","1,076","11,483","12,354",8.5%,"4,617","1,358","12,538","17,033",10.8%,"5,561","1,660","12,121","20,122",11.1%,"7,481","2,026","11,930","24,165",13.6%,"8,420","2,439","11,082","27,033",11.3%,"7,282","2,229","13,469","30,024",11.9%,"8,531","2,442","11,446","27,949",14.5%,"7,181","2,126","11,472","24,386",12.7%,"7,596","2,223","13,497","30,008",14.9%,"7,827","2,364","13,722","32,434",14.7%,,,
"$400,000 and Over","4,317","1,258","15,053","18,934",14.0%,"4,245","1,239","23,245","28,799",19.8%,"5,659","1,719","20,623","35,445",22.5%,"8,600","2,576","21,777","56,098",31.1%,"10,281","2,825","21,470","60,656",34.2%,"15,692","4,611","24,155","111,369",46.5%,"18,353","5,500","22,784","125,321",49.7%,"12,819","3,431","18,556","63,662",32.9%,"10,789","3,068","18,088","55,498",28.9%,"10,919","3,293","18,095","59,594",29.6%,"12,648","3,726","20,359","75,868",34.3%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spending Level (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $2,500","8,454","8,454","1,021","8,630",6.4%,"8,725","8,725",931,"8,125",5.6%,"9,033","9,033",966,"8,725",5.5%,"9,329","9,329",933,"8,700",4.8%,"8,632","8,632",938,"8,097",4.6%,"9,237","9,237",999,"9,231",3.9%,"8,882","8,882",917,"8,146",3.2%,"9,093","9,093",846,"7,695",4.0%,"9,366","9,366",916,"8,581",4.5%,"9,354","9,354",876,"8,191",4.1%,"8,623","8,623",946,"8,154",3.7%,,,
"$2,500-4,999","3,742","3,742","3,757","14,060",10.4%,"3,594","3,594","3,738","13,433",9.2%,"3,649","3,649","3,810","13,903",8.8%,"3,874","3,874","3,715","14,395",8.0%,"3,574","3,574","3,654","13,061",7.4%,"3,553","3,553","3,902","13,864",5.8%,"3,479","3,479","3,532","12,290",4.9%,"3,679","3,679","3,408","12,537",6.5%,"3,664","3,664","3,678","13,475",7.0%,"3,327","3,327","3,697","12,302",6.1%,"3,461","3,461","3,662","12,675",5.7%,,,
"$5,000-9,999","3,226","3,226","7,251","23,395",17.3%,"3,177","3,177","7,281","23,133",15.9%,"3,302","3,302","7,442","24,571",15.6%,"3,454","3,454","7,279","25,140",13.9%,"3,280","3,280","7,218","23,673",13.4%,"3,434","3,434","7,538","25,884",10.8%,"3,804","3,804","6,944","26,414",10.5%,"3,737","3,737","6,631","24,784",12.8%,"3,912","3,912","7,190","28,126",14.6%,"3,981","3,981","7,178","28,576",14.2%,"4,133","4,133","7,186","29,698",13.4%,,,
"$10,000-24,999","2,482","2,482","15,666","38,890",28.7%,"2,286","2,286","15,817","36,162",24.8%,"2,461","2,461","15,950","39,257",25.0%,"2,624","2,624","15,703","41,200",22.8%,"2,493","2,493","15,584","38,857",21.9%,"2,928","2,928","16,259","47,600",19.9%,"3,411","3,411","15,252","52,019",20.6%,"3,134","3,134","14,219","44,558",23.0%,"3,346","3,346","15,470","51,758",26.9%,"3,426","3,426","15,648","53,617",26.7%,"3,880","3,880","15,536","60,285",27.3%,,,
"$25,000-49,999",667,667,"34,662","23,115",17.1%,699,699,"34,773","24,297",16.7%,790,790,"36,016","28,461",18.1%,890,890,"35,344","31,450",17.4%,847,847,"35,422","29,984",16.9%,"1,041","1,041","36,625","38,130",15.9%,"1,215","1,215","33,685","40,936",16.2%,"1,131","1,131","31,437","35,546",18.4%,"1,075","1,075","34,913","37,544",19.5%,"1,109","1,109","35,556","39,439",19.6%,"1,216","1,216","34,931","42,459",19.2%,,,
"$50,000 and Over",318,318,"86,088","27,365",20.2%,327,327,"124,097","40,580",27.8%,397,397,"106,804","42,416",27.0%,499,499,"119,386","59,594",33.0%,530,530,"119,919","63,612",35.9%,703,703,"148,786","104,561",43.7%,942,942,"119,076","112,225",44.5%,703,703,"97,075","68,214",35.3%,524,524,"100,768","52,829",27.5%,571,571,"103,107","58,886",29.3%,624,624,"108,795","67,861",30.7%,,,
No projects,"44,654",,,,,"46,679",,,,,"49,163",,,,,"51,695",,,,,"52,902",,,,,"54,046",,,,,"53,911",,,,,"54,988",,,,,"54,322",,,,,"53,882",,,,,"52,423",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Household Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 35,"9,561","3,028","5,752","17,416",12.9%,"9,325","2,871","6,641","19,070",13.1%,"9,765","2,871","7,392","21,223",13.5%,"10,301","3,166","7,429","23,519",13.0%,"10,334","2,957","8,308","24,567",13.9%,"10,627","3,050","8,886","27,107",11.3%,"10,363","3,105","9,774","30,348",12.0%,"10,378","2,988","7,584","22,659",11.7%,"9,380","2,871","7,719","22,159",11.5%,"8,916","2,517","7,279","18,324",9.1%,"6,986","2,100","8,702","18,278",8.3%,,,
35-44,"14,746","4,726","8,444","39,905",29.5%,"15,473","4,750","9,722","46,183",31.7%,"15,868","4,929","9,082","44,763",28.5%,"16,373","5,098","10,274","52,378",29.0%,"15,412","4,479","11,093","49,684",28.0%,"15,416","4,598","14,351","65,987",27.6%,"14,786","4,409","13,865","61,123",24.3%,"14,926","4,418","10,287","45,454",23.5%,"12,844","3,801","9,817","37,316",19.4%,"12,173","3,588","10,583","37,967",18.9%,"11,743","3,613","10,294","37,187",16.8%,,,
45-54,"13,446","4,247","8,602","36,531",27.0%,"14,237","4,207","8,448","35,537",24.4%,"15,223","4,485","8,624","38,682",24.6%,"16,674","4,913","10,028","49,265",27.3%,"16,654","4,621","10,125","46,785",26.4%,"17,307","5,103","14,108","71,987",30.1%,"17,538","5,246","12,551","65,843",26.1%,"17,750","5,187","9,233","47,898",24.8%,"17,016","4,949","9,542","47,229",24.6%,"16,316","4,832","10,390","50,205",25.0%,"15,968","4,880","10,553","51,493",23.3%,,,
55-64,"9,492","2,821","6,745","19,026",14.0%,"9,959","2,918","7,757","22,635",15.5%,"10,743","3,078","8,118","24,985",15.9%,"11,487","3,272","9,136","29,889",16.6%,"12,512","3,415","9,208","31,445",17.7%,"13,789","3,887","11,186","43,481",18.2%,"14,693","4,309","12,856","55,401",22.0%,"14,940","4,259","9,994","42,568",22.0%,"16,667","4,881","9,435","46,048",23.9%,"16,623","4,963","9,587","47,584",23.7%,"17,674","5,316","11,207","59,575",26.9%,,,
65 and Over,"16,299","4,068","5,549","22,576",16.7%,"16,493","4,062","5,490","22,304",15.3%,"17,196","4,270","6,482","27,679",17.6%,"17,530","4,221","6,023","25,427",14.1%,"17,346","3,885","6,384","24,803",14.0%,"17,802","4,257","7,213","30,709",12.8%,"18,266","4,665","8,427","39,315",15.6%,"18,472","4,624","7,516","34,755",18.0%,"20,302","5,384","7,347","39,561",20.6%,"21,622","5,869","7,997","46,931",23.3%,"21,988","6,028","9,058","54,600",24.7%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millennial (Born 1985+),0,NA,NA,NA,NA,0,NA,NA,NA,NA,3,0,NA,NA,NA,58,15,"7,600",110,0.1%,441,56,"6,661",373,0.2%,483,71,"13,589",962,0.4%,688,102,"7,067",723,0.3%,"1,294",271,"5,192","1,406",0.7%,"1,753",540,"5,704","3,080",1.6%,"2,906",783,"6,631","5,189",2.6%,"3,476","1,021","8,107","8,279",3.7%,,,
Generation-X (Born 1965-84),"4,513","1,387","5,015","6,955",5.1%,"6,732","2,066","6,367","13,152",9.0%,"9,762","2,871","7,392","21,223",13.5%,"12,888","3,953","7,828","30,943",17.1%,"15,206","4,467","9,147","40,865",23.1%,"18,686","5,513","12,034","66,343",27.7%,"18,098","5,501","11,753","64,654",25.7%,"24,009","7,135","9,349","66,706",34.5%,"23,490","6,981","9,270","64,709",33.6%,"24,079","7,076","9,743","68,948",34.3%,"24,517","7,474","10,232","76,478",34.6%,,,
Baby Boom (Born 1945-64),"28,345","9,115","8,157","74,350",54.9%,"29,740","9,002","9,065","81,600",56.0%,"31,091","9,414","8,864","83,444",53.0%,"32,858","9,932","10,199","101,296",56.1%,"32,422","9,121","10,375","94,632",53.4%,"33,083","9,698","13,139","127,418",53.3%,"33,731","10,073","12,984","130,786",51.9%,"32,690","9,447","9,576","90,465",46.8%,"33,095","9,691","9,388","90,980",47.3%,"32,732","9,725","9,884","96,125",47.8%,"33,086","10,001","10,857","108,575",49.1%,,,
Pre-Baby Boom (Born before 1945),"30,686","8,388","6,456","54,150",40.0%,"29,015","7,741","6,585","50,977",35.0%,"27,940","7,348","7,167","52,665",33.5%,"26,560","6,771","7,108","48,129",26.7%,"24,190","5,712","7,250","41,415",23.4%,"22,689","5,613","7,936","44,548",18.6%,"23,128","6,058","9,222","55,867",22.2%,"18,472","4,624","7,516","34,755",18.0%,"17,870","4,675","7,176","33,545",17.4%,"15,934","4,185","7,348","30,750",15.3%,"13,281","3,440","8,081","27,800",12.6%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"53,627","16,209","7,322","118,679",87.6%,"54,662","15,907","7,898","125,624",86.2%,"56,716","16,361","8,281","135,496",86.1%,"58,986","16,946","9,110","154,374",85.5%,"58,386","15,714","9,655","151,713",85.6%,"59,653","16,886","11,614","196,116",82.0%,"59,553","17,407","11,973","208,406",82.7%,"59,945","17,123","9,445","161,727",83.7%,"59,371","17,424","9,299","162,022",84.2%,"58,814","17,220","9,601","165,326",82.2%,"56,402","16,979","10,517","178,570",80.8%,,,
Black,"5,033","1,343","5,622","7,553",5.6%,"5,364","1,465","6,852","10,042",6.9%,"5,917","1,542","6,079","9,372",6.0%,"6,225","1,696","6,122","10,382",5.8%,"6,045","1,529","5,851","8,945",5.0%,"6,325","1,535","11,342","17,409",7.3%,"6,333","1,601","8,469","13,559",5.4%,"6,420","1,699","6,187","10,512",5.4%,"6,506","1,739","6,266","10,895",5.7%,"6,358","1,762","6,712","11,826",5.9%,"6,497","1,811","7,117","12,888",5.8%,,,
Hispanic,"3,245",914,"6,270","5,729",4.2%,"3,646",999,"6,659","6,652",4.6%,"4,087","1,213","6,480","7,859",5.0%,"4,734","1,418","7,391","10,482",5.8%,"5,107","1,449","7,241","10,494",5.9%,"5,752","1,640","8,322","13,649",5.7%,"6,362","1,854","10,851","20,122",8.0%,"6,441","1,817","8,087","14,690",7.6%,"6,534","1,770","6,563","11,617",6.0%,"6,739","1,790","8,128","14,548",7.2%,"7,114","2,036","7,721","15,722",7.1%,,,
Asian,"1,268",323,"8,253","2,668",2.0%,"1,394",325,"8,617","2,799",1.9%,"1,525",364,"9,595","3,490",2.2%,"1,774",431,"9,306","4,009",2.2%,"2,173",483,"8,999","4,349",2.5%,"2,579",636,"15,407","9,801",4.1%,"2,271",545,"12,545","6,833",2.7%,"2,477",537,"7,770","4,176",2.2%,"2,660",624,"8,709","5,433",2.8%,"3,085",788,"9,662","7,611",3.8%,"3,100",739,"14,677","10,840",4.9%,,,
Multirace,370,101,"8,195",825,0.6%,421,113,"5,438",612,0.4%,551,153,"7,260","1,114",0.7%,646,179,"6,862","1,231",0.7%,548,181,"9,829","1,783",1.0%,632,198,"11,599","2,295",1.0%,"1,126",327,"9,497","3,109",1.2%,"1,183",301,"7,408","2,227",1.2%,"1,137",330,"7,119","2,346",1.2%,653,209,"8,146","1,700",0.8%,"1,246",373,"8,353","3,112",1.4%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nativity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native-born,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66,630","19,087","8,696","165,986",92.0%,"66,323","17,849","9,150","163,315",92.1%,"68,156","19,051","11,346","216,157",90.3%,"68,093","19,713","11,484","226,377",89.8%,"68,629","19,467","8,941","174,046",90.0%,"68,120","19,788","8,850","175,115",91.1%,"67,541","19,616","9,253","181,502",90.3%,"65,298","19,399","10,079","195,525",88.4%,,,
Foreign-born,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,736","1,583","9,156","14,493",8.0%,"5,935","1,508","9,263","13,969",7.9%,"6,785","1,844","12,532","23,113",9.7%,"7,552","2,021","12,691","25,653",10.2%,"7,836","2,010","9,597","19,286",10.0%,"8,088","2,099","8,194","17,199",8.9%,"8,109","2,153","9,063","19,510",9.7%,"9,062","2,538","10,090","25,607",11.6%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married without Children,"23,073","6,902","6,944","47,927",35.4%,"24,024","7,012","7,308","51,246",35.2%,"24,985","7,178","8,054","57,818",36.7%,"25,706","7,385","8,739","64,541",35.8%,"25,824","6,924","9,933","68,781",38.8%,"27,027","7,675","11,047","84,790",35.4%,"27,926","8,298","11,482","95,281",37.8%,"28,176","8,057","9,759","78,625",40.7%,"28,644","8,471","9,432","79,897",41.5%,"28,734","8,535","9,767","83,362",41.5%,"29,250","8,902","10,623","94,564",42.8%,,,
Married with Children,"18,148","6,084","8,767","53,340",39.4%,"18,616","5,905","10,042","59,299",40.7%,"19,137","6,130","9,432","57,814",36.7%,"19,555","6,434","10,906","70,171",38.9%,"19,447","5,909","11,061","65,356",36.9%,"19,590","6,170","13,950","86,069",36.0%,"19,063","6,054","14,310","86,627",34.4%,"19,316","6,001","10,638","63,834",33.0%,"17,318","5,421","10,662","57,799",30.1%,"16,808","5,314","11,351","60,317",30.0%,"15,314","5,064","11,497","58,217",26.3%,,,
Single Parent,"3,420",990,"5,280","5,225",3.9%,"3,384",973,"5,729","5,574",3.8%,"3,580","1,054","5,437","5,729",3.6%,"4,202","1,227","6,147","7,542",4.2%,"4,115","1,159","6,909","8,006",4.5%,"4,315","1,250","15,218","19,017",7.9%,"4,164","1,198","9,477","11,350",4.5%,"4,038","1,186","6,563","7,783",4.0%,"3,938","1,129","6,089","6,874",3.6%,"3,919","1,067","8,234","8,787",4.4%,"3,339",984,"7,717","7,597",3.4%,,,
Other Family,"5,006","1,386","6,330","8,773",6.5%,"4,377","1,213","5,207","6,316",4.3%,"4,723","1,276","6,468","8,256",5.2%,"4,951","1,263","7,050","8,903",4.9%,"4,860","1,220","5,987","7,306",4.1%,"5,016","1,340","8,849","11,856",5.0%,"5,062","1,388","8,731","12,123",4.8%,"5,288","1,412","6,575","9,283",4.8%,"5,776","1,639","6,795","11,137",5.8%,"5,845","1,617","7,052","11,404",5.7%,"6,068","1,775","7,046","12,509",5.7%,,,
Single Person,"11,878","2,923","5,406","15,800",11.7%,"12,992","3,096","5,713","17,689",12.1%,"14,147","3,346","6,632","22,189",14.1%,"15,425","3,606","5,953","21,464",11.9%,"15,450","3,455","6,372","22,016",12.4%,"16,205","3,698","7,943","29,376",12.3%,"16,681","4,008","9,627","38,589",15.3%,"16,781","3,978","6,378","25,369",13.1%,"17,586","4,370","6,952","30,384",15.8%,"17,534","4,419","6,928","30,612",15.2%,"17,188","4,256","8,806","37,476",16.9%,,,
Non-Family,"2,018",605,"7,251","4,389",3.2%,"2,093",610,"9,196","5,605",3.8%,"2,223",649,"8,518","5,526",3.5%,"2,525",755,"10,411","7,858",4.4%,"2,563",689,"8,446","5,820",3.3%,"2,789",762,"10,706","8,162",3.4%,"2,750",788,"10,229","8,060",3.2%,"2,866",844,"10,003","8,439",4.4%,"2,947",856,"7,268","6,224",3.2%,"2,810",817,"7,997","6,530",3.2%,"3,200",956,"11,267","10,769",4.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Built,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre 1940,"11,068","3,343","7,790","26,043",19.2%,"11,254","3,336","9,035","30,140",20.7%,"11,548","3,445","9,642","33,220",21.1%,"11,476","3,394","9,516","32,302",17.9%,"11,009","3,081","10,295","31,717",17.9%,"10,676","3,062","12,903","39,513",16.5%,"10,303","2,950","11,537","34,028",13.5%,"10,128","3,028","9,810","29,702",15.4%,"9,782","2,903","9,585","27,821",14.5%,"9,668","2,924","10,385","30,363",15.1%,"8,952","2,700","11,172","30,167",13.6%,,,
