Table 1
Table W-5.  Professional Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,,,,
Income Quintiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom,"12,708","2,346","4,460","10,463",10.1%,"13,096","2,329","5,047","11,753",10.8%,"13,758","2,383","5,369","12,793",10.7%,"14,472","2,348","5,161","12,116",8.6%,"14,450","2,304","5,572","12,836",9.9%,"14,988","2,342","9,690","22,694",12.5%,"15,127","2,517","6,284","15,815",8.0%,"15,291","2,690","6,084","16,363",10.7%,"15,240","2,730","5,828","15,909",10.1%,"15,128","2,604","6,168","16,061",9.7%,"14,871","2,631","6,495","17,088",9.6%,,,,,,
Lower-Middle,"12,709","2,558","5,789","14,807",14.3%,"13,098","2,496","5,451","13,605",12.5%,"13,760","2,622","5,441","14,267",11.9%,"14,474","2,746","7,084","19,455",13.9%,"14,453","2,398","6,096","14,616",11.3%,"14,989","2,679","7,468","20,004",11.0%,"15,130","2,897","7,568","21,927",11.1%,"15,293","2,783","6,218","17,307",11.3%,"15,242","2,905","7,250","21,065",13.3%,"15,130","2,864","7,382","21,137",12.7%,"14,868","3,016","7,849","23,670",13.3%,,,,,,
Middle,"12,708","2,622","6,484","16,999",16.5%,"13,097","2,573","6,150","15,825",14.5%,"13,759","2,774","6,969","19,332",16.1%,"14,473","2,939","7,561","22,222",15.8%,"14,452","2,565","6,950","17,825",13.7%,"14,988","2,930","8,607","25,218",13.8%,"15,128","3,055","9,936","30,358",15.4%,"15,293","2,998","7,961","23,868",15.6%,"15,243","3,203","7,408","23,727",15.0%,"15,131","3,158","8,223","25,971",15.7%,"14,874","3,250","8,926","29,004",16.3%,,,,,,
Upper-Middle,"12,710","2,887","7,677","22,163",21.5%,"13,097","2,705","8,028","21,711",19.9%,"13,758","3,074","8,186","25,159",21.0%,"14,473","3,209","9,440","30,296",21.6%,"14,452","2,970","8,871","26,350",20.3%,"14,988","3,198","11,683","37,361",20.5%,"15,130","3,388","10,512","35,612",18.0%,"15,293","3,260","9,040","29,469",19.2%,"15,241","3,475","9,619","33,429",21.2%,"15,128","3,465","10,066","34,881",21.0%,"14,870","3,534","11,308","39,957",22.5%,,,,,,
Top,"12,710","3,247","11,937","38,762",37.6%,"13,099","3,171","14,614","46,347",42.4%,"13,761","3,481","13,883","48,333",40.3%,"14,474","3,698","15,229","56,312",40.1%,"14,452","3,418","16,973","58,013",44.7%,"14,989","3,848","19,960","76,803",42.2%,"15,131","4,058","23,156","93,966",47.5%,"15,294","3,823","17,336","66,283",43.2%,"15,243","4,103","15,582","63,925",40.4%,"15,132","4,202","16,138","67,808",40.9%,"14,875","4,039","16,894","68,242",38.3%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Value (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $100,000","19,328","3,619","4,548","16,459",15.9%,"19,024","3,381","4,587","15,507",14.2%,"19,902","3,443","4,468","15,386",12.8%,"17,792","2,966","4,387","13,012",9.3%,"16,921","2,595","4,197","10,891",8.4%,"17,170","2,714","7,347","19,943",11.0%,"15,928","2,523","5,677","14,322",7.2%,"18,514","3,124","5,090","15,903",10.4%,"19,130","3,422","5,082","17,391",11.0%,"19,076","3,244","5,599","18,161",10.9%,"18,201","3,304","5,263","17,388",9.8%,,,,,,
"$100-149,999","15,360","3,399","5,923","20,129",19.5%,"17,331","3,447","6,231","21,478",19.7%,"15,619","3,222","6,093","19,631",16.4%,"16,139","3,174","5,847","18,559",13.2%,"13,297","2,418","5,562","13,449",10.4%,"11,750","2,164","7,437","16,091",8.8%,"11,381","2,271","6,477","14,707",7.4%,"11,612","2,338","6,407","14,980",9.8%,"13,772","2,877","6,441","18,529",11.7%,"13,094","2,762","6,794","18,765",11.3%,"11,819","2,520","7,007","17,653",9.9%,,,,,,
"$150-199,999","9,193","2,023","6,957","14,074",13.6%,"9,411","1,963","6,745","13,243",12.1%,"10,624","2,348","6,757","15,869",13.2%,"10,149","2,219","7,209","15,998",11.4%,"11,779","2,283","6,601","15,070",11.6%,"10,020","1,993","6,846","13,646",7.5%,"8,203","1,693","6,863","11,618",5.9%,"11,644","2,467","6,897","17,015",11.1%,"11,323","2,544","8,496","21,614",13.7%,"11,606","2,597","7,972","20,705",12.5%,"10,457","2,347","8,092","18,997",10.7%,,,,,,
"$200-299,999","10,862","2,451","8,965","21,975",21.3%,"11,954","2,629","9,578","25,184",23.1%,"12,375","2,791","8,938","24,943",20.8%,"14,125","3,171","9,038","28,661",20.4%,"12,499","2,520","8,458","21,315",16.4%,"11,890","2,559","9,387","24,020",13.2%,"14,498","3,188","9,385","29,919",15.1%,"13,346","2,909","9,493","27,611",18.0%,"14,014","3,217","9,702","31,216",19.8%,"13,359","3,120","9,495","29,619",17.9%,"13,409","3,262","9,509","31,019",17.4%,,,,,,
"$300-399,999","4,484","1,094","12,837","14,044",13.6%,"3,521",828,"11,290","9,350",8.6%,"4,617","1,075","12,590","13,540",11.3%,"5,561","1,284","12,766","16,395",11.7%,"7,481","1,529","11,799","18,042",13.9%,"8,420","1,859","10,735","19,958",11.0%,"7,282","1,739","12,621","21,953",11.1%,"8,531","1,866","11,987","22,372",14.6%,"7,181","1,736","11,793","20,476",13.0%,"7,596","1,773","14,652","25,985",15.7%,"7,827","1,905","14,102","26,858",15.1%,,,,,,
"$400,000 and Over","4,317","1,074","15,375","16,511",16.0%,"4,245","1,025","23,886","24,479",22.4%,"5,659","1,454","20,985","30,515",25.5%,"8,600","2,125","22,481","47,777",34.0%,"10,281","2,309","22,029","50,873",39.2%,"15,692","3,707","23,854","88,421",48.6%,"18,353","4,501","23,361","105,160",53.2%,"12,819","2,849","19,447","55,408",36.1%,"10,789","2,619","18,642","48,828",30.9%,"10,919","2,797","18,815","52,624",31.7%,"12,648","3,132","21,090","66,045",37.1%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spending Level (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $2,500","8,454","4,613","1,062","4,898",4.7%,"8,725","4,718",952,"4,491",4.1%,"9,033","5,197",974,"5,061",4.2%,"9,329","5,211",952,"4,963",3.5%,"8,632","4,764",941,"4,481",3.5%,"9,237","5,153","1,003","5,170",2.8%,"8,882","4,910",926,"4,547",2.3%,"9,093","5,027",863,"4,340",2.8%,"9,366","5,450",946,"5,156",3.3%,"9,354","5,355",911,"4,877",2.9%,"8,623","4,883",953,"4,651",2.6%,,,,,,
"$2,500-4,999","3,742","3,039","3,310","10,057",9.7%,"3,594","2,898","3,370","9,767",8.9%,"3,649","2,960","3,354","9,929",8.3%,"3,874","3,041","3,269","9,939",7.1%,"3,574","2,738","3,233","8,851",6.8%,"3,553","2,760","3,445","9,507",5.2%,"3,479","2,697","3,138","8,461",4.3%,"3,679","2,862","3,038","8,695",5.7%,"3,664","2,918","3,297","9,622",6.1%,"3,327","2,710","3,361","9,109",5.5%,"3,461","2,733","3,242","8,858",5.0%,,,,,,
"$5,000-9,999","3,226","2,822","6,119","17,267",16.7%,"3,177","2,711","6,330","17,161",15.7%,"3,302","2,864","6,429","18,412",15.4%,"3,454","3,026","6,288","19,027",13.6%,"3,280","2,741","6,192","16,975",13.1%,"3,434","2,900","6,533","18,944",10.4%,"3,804","3,241","6,109","19,800",10.0%,"3,737","3,188","5,833","18,600",12.1%,"3,912","3,455","6,412","22,151",14.0%,"3,981","3,481","6,559","22,833",13.8%,"4,133","3,604","6,294","22,687",12.7%,,,,,,
"$10,000-24,999","2,482","2,268","13,194","29,923",29.0%,"2,286","2,018","13,437","27,120",24.8%,"2,461","2,211","13,264","29,325",24.5%,"2,624","2,380","13,265","31,578",22.5%,"2,493","2,182","12,941","28,241",21.8%,"2,928","2,580","13,765","35,514",19.5%,"3,411","3,054","13,093","39,984",20.2%,"3,134","2,758","12,221","33,704",22.0%,"3,346","3,075","13,789","42,405",26.8%,"3,426","3,160","13,996","44,221",26.7%,"3,880","3,507","13,600","47,692",26.8%,,,,,,
"$25,000-49,999",667,610,"29,409","17,945",17.4%,699,626,"29,477","18,456",16.9%,790,743,"30,400","22,596",18.8%,890,814,"30,381","24,717",17.6%,847,749,"29,874","22,368",17.3%,"1,041",964,"31,091","29,961",16.5%,"1,215","1,138","28,350","32,263",16.3%,"1,131","1,063","26,826","28,509",18.6%,"1,075","1,013","31,283","31,675",20.0%,"1,109","1,040","31,883","33,173",20.0%,"1,216","1,150","30,604","35,210",19.8%,,,,,,
"$50,000 and Over",318,307,"75,172","23,104",22.4%,327,303,"106,589","32,246",29.5%,397,358,"96,580","34,563",28.8%,499,468,"107,172","50,177",35.7%,530,480,"101,472","48,724",37.6%,703,640,"129,578","82,984",45.6%,942,876,"105,782","92,624",46.9%,703,656,"90,592","59,442",38.8%,524,505,"93,095","47,044",29.8%,571,547,"94,412","51,646",31.1%,624,592,"99,371","58,863",33.1%,,,,,,
No projects,"44,654",,,,,"46,679",,,,,"49,163",,,,,"51,695",,,,,"52,902",,,,,"54,046",,,,,"53,911",,,,,"54,988",,,,,"54,322",,,,,"53,882",,,,,"52,423",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Household Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 35,"9,561","1,785","5,839","10,425",10.1%,"9,325","1,616","7,641","12,350",11.3%,"9,765","1,855","7,747","14,371",12.0%,"10,301","2,132","7,448","15,880",11.3%,"10,334","1,848","7,021","12,976",10.0%,"10,627","1,866","9,613","17,938",9.9%,"10,363","2,015","10,233","20,622",10.4%,"10,378","1,841","8,434","15,530",10.1%,"9,380","1,937","8,158","15,806",10.0%,"8,916","1,654","7,351","12,158",7.3%,"6,986","1,406","9,294","13,067",7.3%,,,,,,
35-44,"14,746","3,153","9,207","29,029",28.1%,"15,473","3,146","10,268","32,300",29.6%,"15,868","3,337","9,559","31,897",26.6%,"16,373","3,407","11,088","37,773",26.9%,"15,412","2,964","11,389","33,759",26.0%,"15,416","3,144","15,901","49,985",27.5%,"14,786","3,085","14,980","46,211",23.4%,"14,926","2,964","11,718","34,730",22.7%,"12,844","2,678","10,886","29,156",18.4%,"12,173","2,523","11,911","30,045",18.1%,"11,743","2,539","10,960","27,831",15.6%,,,,,,
45-54,"13,446","3,063","9,146","28,011",27.1%,"14,237","2,917","9,407","27,443",25.1%,"15,223","3,322","9,069","30,124",25.1%,"16,674","3,476","11,439","39,765",28.3%,"16,654","3,177","11,303","35,915",27.7%,"17,307","3,600","14,737","53,051",29.1%,"17,538","3,718","13,403","49,837",25.2%,"17,750","3,652","10,196","37,240",24.3%,"17,016","3,539","10,902","38,583",24.4%,"16,316","3,529","11,641","41,086",24.8%,"15,968","3,460","11,695","40,467",22.7%,,,,,,
55-64,"9,492","2,204","6,915","15,239",14.8%,"9,959","2,179","7,893","17,200",15.7%,"10,743","2,317","8,371","19,394",16.2%,"11,487","2,492","10,018","24,963",17.8%,"12,512","2,527","10,171","25,706",19.8%,"13,789","2,928","11,881","34,788",19.1%,"14,693","3,286","13,991","45,972",23.3%,"14,940","3,258","10,964","35,722",23.3%,"16,667","3,755","10,472","39,318",24.9%,"16,623","3,768","10,830","40,809",24.6%,"17,674","4,075","11,924","48,589",27.3%,,,,,,
65 and Over,"16,299","3,455","5,930","20,488",19.9%,"16,493","3,415","5,841","19,949",18.3%,"17,196","3,503","6,878","24,098",20.1%,"17,530","3,433","6,414","22,019",15.7%,"17,346","3,137","6,785","21,285",16.4%,"17,802","3,459","7,610","26,318",14.5%,"18,266","3,811","9,194","35,035",17.7%,"18,472","3,838","7,833","30,067",19.6%,"20,302","4,507","7,809","35,190",22.3%,"21,622","4,819","8,666","41,760",25.2%,"21,988","4,989","9,623","48,007",27.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millennial (Born 1985+),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,11,"9,801",104,0.1%,441,42,"6,226",258,0.2%,483,52,"5,523",288,0.2%,688,77,"8,214",635,0.3%,"1,294",155,"6,014",934,0.6%,"1,753",327,"5,757","1,885",1.2%,"2,906",493,"6,730","3,320",2.0%,"3,476",626,"8,584","5,378",3.0%,,,,,,
Generation-X (Born 1965-84),"4,513",799,"4,998","3,992",3.9%,"6,732","1,142","7,550","8,625",7.9%,"9,762","1,855","7,747","14,371",12.0%,"12,888","2,650","7,936","21,030",15.0%,"15,206","2,835","8,296","23,516",18.1%,"18,686","3,616","13,573","49,079",27.0%,"18,098","3,685","12,841","47,312",23.9%,"24,009","4,650","10,608","49,327",32.2%,"23,490","4,889","10,196","49,850",31.5%,"24,079","4,929","10,836","53,413",32.2%,"24,517","5,284","11,111","58,708",33.0%,,,,,,
Baby Boom (Born 1945-64),"28,345","6,132","8,805","53,989",52.3%,"29,740","5,974","9,857","58,882",53.9%,"31,091","6,659","9,314","62,021",51.7%,"32,858","6,912","11,327","78,298",55.8%,"32,422","6,284","11,236","70,608",54.5%,"33,083","6,836","13,979","95,558",52.5%,"33,731","7,270","13,851","100,695",50.9%,"32,690","6,910","10,558","72,962",47.6%,"33,095","7,283","10,492","76,417",48.3%,"32,732","7,407","10,997","81,452",49.1%,"33,086","7,689","11,612","89,286",50.2%,,,,,,
Pre-Baby Boom (Born before 1945),"30,686","6,729","6,719","45,213",43.8%,"29,015","6,158","6,777","41,734",38.2%,"27,940","5,820","7,473","43,492",36.3%,"26,560","5,367","7,633","40,968",29.2%,"24,190","4,494","7,846","35,258",27.2%,"22,689","4,492","8,271","37,154",20.4%,"23,128","4,883","10,042","49,037",24.8%,"18,472","3,838","7,833","30,067",19.6%,"17,870","3,916","7,635","29,902",18.9%,"15,934","3,463","7,990","27,673",16.7%,"13,281","2,869","8,570","24,589",13.8%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"53,627","11,728","7,701","90,324",87.5%,"54,662","11,194","8,363","93,612",85.7%,"56,716","11,937","8,601","102,663",85.6%,"58,986","12,210","9,917","121,092",86.2%,"58,386","11,102","10,043","111,497",86.0%,"59,653","12,127","12,326","149,479",82.1%,"59,553","12,708","12,869","163,536",82.7%,"59,945","12,397","10,407","129,021",84.2%,"59,371","13,047","10,264","133,923",84.7%,"58,814","12,873","10,654","137,148",82.7%,"56,402","12,712","11,418","145,143",81.6%,,,,,,
Black,"5,033","1,057","5,906","6,244",6.1%,"5,364","1,146","6,995","8,017",7.3%,"5,917","1,241","6,215","7,712",6.4%,"6,225","1,360","6,428","8,743",6.2%,"6,045","1,157","6,178","7,151",5.5%,"6,325","1,198","12,589","15,081",8.3%,"6,333","1,332","8,250","10,986",5.6%,"6,420","1,375","6,300","8,660",5.6%,"6,506","1,451","6,391","9,275",5.9%,"6,358","1,457","6,842","9,968",6.0%,"6,497","1,504","7,178","10,796",6.1%,,,,,,
Hispanic,"3,245",559,"6,909","3,862",3.7%,"3,646",601,"7,940","4,774",4.4%,"4,087",774,"7,265","5,625",4.7%,"4,734",938,"7,136","6,696",4.8%,"5,107",922,"7,049","6,500",5.0%,"5,752","1,078","9,080","9,787",5.4%,"6,362","1,243","11,821","14,698",7.4%,"6,441","1,188","9,020","10,716",7.0%,"6,534","1,151","7,263","8,359",5.3%,"6,739","1,179","9,430","11,119",6.7%,"7,114","1,374","7,697","10,576",5.9%,,,,,,
Asian,"1,268",242,"8,784","2,123",2.1%,"1,394",249,"9,814","2,442",2.2%,"1,525",280,"11,389","3,184",2.7%,"1,774",300,"9,742","2,922",2.1%,"2,173",342,"8,965","3,069",2.4%,"2,579",456,"14,364","6,549",3.6%,"2,271",427,"14,076","6,008",3.0%,"2,477",394,"8,719","3,432",2.2%,"2,660",511,"9,024","4,614",2.9%,"3,085",628,"10,069","6,324",3.8%,"3,100",614,"15,134","9,295",5.2%,,,,,,
Multirace,370,74,"8,689",640,0.6%,421,83,"4,747",396,0.4%,551,102,"6,829",699,0.6%,646,131,"7,211",948,0.7%,548,130,"10,927","1,424",1.1%,632,137,"8,632","1,183",0.6%,"1,126",205,"11,935","2,449",1.2%,"1,183",200,"7,297","1,461",1.0%,"1,137",255,"7,381","1,883",1.2%,653,156,"8,347","1,300",0.8%,"1,246",265,"8,116","2,151",1.2%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nativity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native-born,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66,630","13,811","9,434","130,292",92.8%,"66,323","12,585","9,468","119,161",91.9%,"68,156","13,685","12,106","165,667",91.0%,"68,093","14,456","12,271","177,387",89.7%,"68,629","14,131","9,759","137,913",90.0%,"68,120","14,873","9,693","144,168",91.2%,"67,541","14,682","10,214","149,957",90.4%,"65,298","14,560","10,856","158,059",88.8%,,,,,,
Foreign-born,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,736","1,129","8,954","10,108",7.2%,"5,935","1,069","9,804","10,479",8.1%,"6,785","1,311","12,518","16,413",9.0%,"7,552","1,459","13,904","20,291",10.3%,"7,836","1,423","10,808","15,377",10.0%,"8,088","1,543","8,998","13,886",8.8%,"8,109","1,611","9,872","15,902",9.6%,"9,062","1,909","10,425","19,902",11.2%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married without Children,"23,073","5,066","7,272","36,845",35.7%,"24,024","5,039","7,724","38,924",35.6%,"24,985","5,357","8,491","45,487",37.9%,"25,706","5,453","9,536","52,000",37.0%,"25,824","5,002","10,152","50,786",39.2%,"27,027","5,577","11,798","65,796",36.1%,"27,926","6,075","12,608","76,595",38.7%,"28,176","5,956","10,651","63,436",41.4%,"28,644","6,412","10,476","67,167",42.5%,"28,734","6,382","10,953","69,897",42.1%,"29,250","6,714","11,383","76,423",42.9%,,,,,,
Married with Children,"18,148","3,983","9,554","38,056",36.9%,"18,616","3,642","11,568","42,134",38.6%,"19,137","4,131","10,002","41,317",34.5%,"19,555","4,331","12,053","52,205",37.2%,"19,447","3,851","11,880","45,751",35.3%,"19,590","4,118","15,627","64,354",35.3%,"19,063","4,133","15,761","65,135",33.0%,"19,316","3,992","12,181","48,628",31.7%,"17,318","3,782","12,112","45,813",29.0%,"16,808","3,728","12,913","48,136",29.0%,"15,314","3,602","12,697","45,734",25.7%,,,,,,
Single Parent,"3,420",679,"5,783","3,924",3.8%,"3,384",698,"5,995","4,182",3.8%,"3,580",726,"6,105","4,432",3.7%,"4,202",871,"6,978","6,081",4.3%,"4,115",802,"7,400","5,936",4.6%,"4,315",869,"16,121","14,017",7.7%,"4,164",893,"9,804","8,758",4.4%,"4,038",822,"7,435","6,108",4.0%,"3,938",801,"6,427","5,151",3.3%,"3,919",809,"7,985","6,458",3.9%,"3,339",714,"8,346","5,960",3.3%,,,,,,
Other Family,"5,006","1,074","6,815","7,318",7.1%,"4,377",924,"5,673","5,239",4.8%,"4,723",976,"6,521","6,361",5.3%,"4,951",932,"7,935","7,395",5.3%,"4,860",885,"6,137","5,432",4.2%,"5,016",995,"8,060","8,019",4.4%,"5,062","1,061","9,733","10,324",5.2%,"5,288","1,051","7,126","7,493",4.9%,"5,776","1,277","7,340","9,372",5.9%,"5,845","1,208","7,954","9,605",5.8%,"6,068","1,326","7,298","9,676",5.4%,,,,,,
Single Person,"11,878","2,436","5,633","13,721",13.3%,"12,992","2,546","5,763","14,672",13.4%,"14,147","2,694","6,867","18,499",15.4%,"15,425","2,824","6,038","17,054",12.1%,"15,450","2,649","6,613","17,516",13.5%,"16,205","2,917","8,259","24,089",13.2%,"16,681","3,210","9,635","30,928",15.6%,"16,781","3,153","6,547","20,643",13.5%,"17,586","3,519","7,316","25,743",16.3%,"17,534","3,578","7,395","26,459",16.0%,"17,188","3,413","9,159","31,262",17.6%,,,,,,
Non-Family,"2,018",422,"7,891","3,328",3.2%,"2,093",425,"9,624","4,090",3.7%,"2,223",451,"8,406","3,788",3.2%,"2,525",528,"10,728","5,666",4.0%,"2,563",465,"9,077","4,220",3.3%,"2,789",520,"11,166","5,806",3.2%,"2,750",543,"10,937","5,939",3.0%,"2,866",580,"12,041","6,981",4.6%,"2,947",625,"7,692","4,809",3.0%,"2,810",589,"9,006","5,303",3.2%,"3,200",700,"12,723","8,906",5.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Built,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
