Table 1
Table W-3. Do-It-Yourself Home Improvement Expenditures: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,1997,,,1999,,,2001,,,2003,,,2005,,,2007,,,2009,,,2011,,,2013,,,2015,,
Systems and Equipment ,"4,087",644,"2,630","4,223",708,"2,991","4,517",771,"3,485","4,908",801,"3,933","4,635",920,"4,264","4,981","1,058","5,272","5,246","1,015","5,324","5,418",819,"4,439","5,312",870,"4,623","5,140",898,"4,618","5,884","1,090","6,411"
Internal Water Pipes,579,433,251,659,344,226,738,378,279,695,411,286,616,537,331,705,717,505,676,"1,000",676,735,452,332,590,377,223,578,471,272,729,723,527
Plumbing Fixtures,"1,046",350,366,"1,180",336,396,"1,785",436,779,"1,986",501,995,"1,898",530,"1,006","2,114",584,"1,235","2,210",573,"1,265","2,294",475,"1,090","2,139",511,"1,093","1,975",575,"1,136","2,399",595,"1,427"
Electrical System,752,407,306,957,589,564,823,348,287,893,475,424,814,711,579,902,578,521,938,797,748,890,463,412,799,500,399,755,647,488,883,672,594
HVAC,366,"2,266",830,396,"2,511",995,557,"2,210","1,231",520,"2,333","1,212",539,"2,383","1,286",511,"3,510","1,792",558,"2,491","1,389",551,"2,654","1,461",534,"2,764","1,477",466,"2,833","1,321",603,"3,287","1,984"
Appliances/Major Equipment,"2,144",409,877,"2,098",386,810,"2,157",421,909,"2,445",415,"1,015","2,289",464,"1,063","2,515",485,"1,219","2,771",449,"1,246","2,833",404,"1,145","2,966",482,"1,431","2,890",485,"1,401","3,341",562,"1,879"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER*,"3,386","2,226","7,536","3,291","2,405","7,915","3,119","2,214","6,905","3,916","1,913","7,491","3,066","2,723","8,348","3,237","3,390","10,973","2,727","3,419","9,324","2,753","2,410","6,633","2,286","2,147","4,906","2,118","2,675","5,665","3,853","2,163","8,334"
Disaster Repairs,156,"7,002","1,092",156,"8,385","1,306",187,"5,735","1,073",134,"7,360",990,106,"8,189",871,201,"8,407","1,686",187,"18,725","3,505",266,"5,651","1,501",170,"6,891","1,170",189,"12,450","2,358",161,"8,421","1,356"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improvements to Lot or Yard*†††,"3,265","1,974","6,444","3,186","2,074","6,609","2,973","1,962","5,832","3,810","1,706","6,501","2,992","2,499","7,477","3,067","3,028","9,287","2,583","2,252","5,819","2,535","2,025","5,133","2,143","1,744","3,737","1,960","1,687","3,307","3,736","1,868","6,978"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"10,310","3,129","32,262","9,932","3,674","36,488","10,263","3,649","37,447","10,798","3,712","40,078","10,243","4,651","47,643","10,839","5,276","57,190","10,877","4,997","54,352","10,797","3,709","40,043","10,352","3,310","34,260","9,836","3,574","35,152","11,154","3,870","43,171"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Homeowner numbers do not add to total because respondents may report projects in more than one category. Major remodels are defined as do-it-yourself improvements of more than $4,000 for kitchen projects and $2,000 for bath projects. Job categories are aggregations of the detailed projects reported in the AHS. Expenditures are adjusted for inflation using CPI-U for All Items. 2013 tabulations use JCHS-adjusted weights and 2015 tabulations use preliminary HUD weights. For more information about the re-weighting methodology, see www.jchs.harvard.edu/research/improving-americas-housing.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Definition of project category changes in 2007 so users are cautioned in making comparisons of project activity before and after this date. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
†Patio and terrace project activity included in Improvements to Lot or Yard before 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
††Project activity included in Improvements to Lot or Yard before 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"†††2015 data include improvements to landscaping or sprinkler systems, which were formerly out of scope of the survey. DIY landscaping projects were reported by 16.2% of all homeowners reporting one or more DIY improvement projects in 2015 and expenditures amounted to 4.1% of national DIY improvement spending. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: JCHS tabulations of the Department of Housing and Urban Development (HUD), 1995-2013 American Housing Surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
