Table 1
Table W-2. Professional Home Improvement Expenditures: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,1997,,,1999,,,2001,,,2003,,,2005,,,2007,,,2009,,,2011,,,2013,,,2015,,
Room Additions,941,"19,969","18,784",743,"30,058","22,331",862,"23,482","20,248",822,"30,952","25,433",811,"32,814","26,608",959,"39,109","37,511",956,"36,267","34,659",805,"34,356","27,661",767,"19,247","14,753",784,"24,425","19,144",411,"32,640","13,414"
Kitchen ,153,"14,851","2,271",115,"23,146","2,671",28,"27,851",789,29,"65,566","1,894",26,"56,176","1,447",36,"24,566",872,18,"39,949",728,28,"39,394","1,099",28,"35,684",987,21,"43,633",904,67,"30,069","2,000"
Bath ,274,"23,036","6,321",212,"24,321","5,167",206,"9,937","2,047",202,"17,021","3,437",198,"13,700","2,711",249,"10,568","2,635",227,"12,864","2,920",210,"16,476","3,463",175,"11,233","1,960",167,"13,871","2,323",81,"18,203","1,476"
Bedroom ,244,"7,878","1,918",202,"16,740","3,374",265,"26,917","7,126",256,"31,459","8,061",259,"35,902","9,293",283,"44,651","12,632",273,"41,042","11,220",267,"35,012","9,365",221,"15,826","3,503",248,"27,024","6,692",130,"35,484","4,595"
Other ,603,"13,721","8,274",482,"23,060","11,119",616,"16,703","10,286",621,"19,384","12,041",598,"21,995","13,157",709,"30,164","21,372",725,"27,300","19,792",570,"24,095","13,733",543,"15,283","8,303",542,"17,031","9,224",288,"18,535","5,342"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outside Attachments*,644,"5,957","3,836",534,"5,743","3,065",586,"6,397","3,751",513,"7,543","3,873",472,"8,329","3,933",532,"9,138","4,861","1,169","7,956","9,299",950,"7,018","6,668","1,081","7,600","8,212","1,090","8,415","9,175","1,125","8,456","9,516"
"Porch, deck, patio or terrace*†",543,"4,804","2,609",453,"4,940","2,240",484,"5,541","2,681",420,"6,280","2,636",369,"6,807","2,510",412,"7,525","3,100","1,105","7,369","8,146",886,"5,992","5,308","1,006","6,831","6,873","1,022","7,286","7,449",977,"7,775","7,596"
Garage or carport,115,"10,668","1,227",83,"9,874",824,127,"8,404","1,070",109,"11,399","1,237",115,"12,407","1,423",132,"13,295","1,761",80,"14,440","1,153",77,"17,588","1,360",83,"16,153","1,339",84,"20,584","1,726",202,"9,521","1,920"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPLACEMENTS*,"10,845","4,127","44,754","10,696","4,414","47,216","12,266","4,746","58,213","12,880","4,716","60,738","11,583","4,782","55,392","12,519","5,928","74,221","13,573","6,287","85,338","13,263","5,060","67,106","14,305","5,796","82,916","14,043","5,932","83,307","14,152","6,485","91,776"
Exterior*,"4,542","5,068","23,019","4,566","5,256","23,999","4,715","5,626","26,526","4,997","5,484","27,402","4,253","5,849","24,878","4,989","6,859","34,219","5,264","6,971","36,698","5,265","5,796","30,513","5,735","6,682","38,324","5,460","6,866","37,491","5,896","7,213","42,529"
Roofing,"2,054","5,194","10,666","2,310","5,337","12,331","2,552","4,914","12,543","2,550","5,113","13,039","2,158","5,611","12,108","2,676","6,711","17,961","2,709","6,462","17,509","2,711","5,746","15,578","3,081","6,950","21,417","3,057","7,454","22,790","3,276","7,364","24,127"
Siding,788,"7,318","5,770",802,"6,800","5,455",874,"7,728","6,753",870,"6,899","6,000",726,"7,149","5,191",819,"8,004","6,556",776,"7,375","5,720",791,"5,465","4,325",736,"6,511","4,794",776,"5,939","4,608",804,"6,868","5,522"
Windows or doors,"2,400","2,742","6,583","2,216","2,804","6,213","2,342","3,088","7,230","2,596","3,222","8,363","2,169","3,494","7,579","2,544","3,813","9,702","2,721","4,252","11,570","2,720","3,570","9,711","2,890","3,768","10,889","2,492","3,617","9,013","2,792","4,074","11,373"
"Chimney, stairs or other exterior††",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,"10,853","1,900",120,"7,526",900,134,"9,140","1,224",122,"8,859","1,080",492,"3,065","1,507"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior Additions & Replacements,"3,444","2,291","7,890","3,045","2,662","8,105","5,506","2,907","16,007","5,660","2,864","16,208","5,084","2,952","15,007","5,334","3,835","20,456","5,621","4,194","23,577","4,983","3,040","15,147","5,388","3,267","17,603","5,064","3,736","18,920","4,494","3,729","16,760"
Insulation,556,909,506,476,859,409,576,"1,014",585,632,"1,057",668,498,753,375,594,"3,027","1,797",727,"2,490","1,810",873,"1,476","1,288","1,087","1,596","1,736",986,"1,674","1,650",931,"2,081","1,938"
"Carpeting, flooring, paneling or ceiling tiles","2,380","2,289","5,449","2,218","2,387","5,296","4,857","2,797","13,583","5,017","2,736","13,727","4,558","2,862","13,044","4,688","3,365","15,777","4,839","3,647","17,647","4,168","2,859","11,915","4,426","3,162","13,992","4,057","3,488","14,150","3,615","3,541","12,799"
Other major improvements inside home,807,"2,398","1,935",631,"3,805","2,400",536,"3,433","1,840",501,"3,618","1,812",427,"3,717","1,588",582,"4,950","2,881",639,"6,447","4,120",537,"3,620","1,944",477,"3,927","1,875",602,"5,187","3,120",459,"4,410","2,023"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Systems and Equipment ,"6,426","2,154","13,845","6,455","2,341","15,113","6,961","2,253","15,680","7,384","2,320","17,129","6,681","2,321","15,508","7,170","2,726","19,547","8,296","3,021","25,063","8,282","2,589","21,445","9,123","2,958","26,989","8,832","3,045","26,897","9,621","3,377","32,488"
Internal Water Pipes,801,"1,337","1,070",782,"1,234",965,816,"1,101",899,843,"1,336","1,127",752,"1,633","1,228",845,"1,818","1,537",898,"1,992","1,788",889,"1,531","1,361",912,"1,585","1,446",883,"1,682","1,485","1,040","2,089","2,174"
Plumbing Fixtures,858,872,749,889,"1,048",932,"1,427",982,"1,401","1,666",977,"1,627","1,426","1,021","1,456","1,612","1,145","1,846","1,974","1,597","3,151","1,852","1,359","2,518","1,981","1,189","2,354","2,063","1,358","2,801","2,160","1,636","3,533"
Electrical System,"1,320",924,"1,220","1,386","1,358","1,882","1,324","1,097","1,452","1,389","1,364","1,895","1,203","1,244","1,496","1,373","1,441","1,978","1,599","1,890","3,022","1,565","1,377","2,155","1,476","1,563","2,306","1,453","1,619","2,352","1,624","1,936","3,145"
HVAC,"2,225","4,097","9,118","2,322","4,058","9,421","2,466","3,852","9,498","2,500","3,983","9,956","2,415","3,749","9,056","2,453","4,561","11,186","2,928","4,514","13,218","2,864","4,250","12,171","3,293","5,086","16,749","3,026","5,387","16,299","3,447","5,427","18,707"
Appliances/Major Equipment,"2,875",587,"1,688","2,803",682,"1,912","3,482",698,"2,431","3,734",676,"2,523","3,267",695,"2,271","3,606",832,"2,999","4,275",908,"3,883","4,286",756,"3,240","4,926",839,"4,134","4,562",868,"3,958","5,368",918,"4,929"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER*,"3,944","6,063","23,914","3,792","6,598","25,019","3,729","6,320","23,571","4,819","6,680","32,193","3,509","7,726","27,106","4,226","9,053","38,258","4,086","8,249","33,703","3,672","7,340","26,957","3,729","7,623","28,425","3,829","8,343","31,944","4,472","6,950","31,077"
Disaster Repairs,573,"12,343","7,073",480,"10,793","5,178",467,"9,842","4,597",500,"13,773","6,882",353,"15,608","5,513",608,"17,797","10,824",728,"14,513","10,569",830,"11,396","9,459",792,"14,943","11,834",953,"14,947","14,237",609,"15,948","9,711"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improvements to Lot or Yard*†††,"3,479","4,841","16,840","3,393","5,848","19,842","3,328","5,701","18,974","4,438","5,704","25,311","3,213","6,721","21,593","3,721","7,372","27,434","3,476","6,656","23,135","2,951","5,930","17,498","3,043","5,452","16,592","2,991","5,920","17,707","3,981","5,367","21,366"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"13,660","7,555","103,193","13,274","8,230","109,241","14,334","8,364","119,884","14,940","9,398","140,401","13,654","9,494","129,641","14,996","12,142","182,080","15,915","12,421","197,678","15,554","9,855","153,289","16,416","9,628","158,054","16,293","10,180","165,859","16,469","10,806","177,961"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Homeowner numbers do not add to total because respondents may report projects in more than one category. Major remodels are defined as professional home improvements of more than $10,000 for kitchen projects and more than $5,000 for bath projects. Job categories are aggregations of the detailed projects reported in the AHS. Expenditures are adjusted for inflation using CPI-U for All Items. 2013 tabulations use JCHS-adjusted weights and 2015 tabulations use preliminary HUD weights. For more information about the re-weighting methodology, see www.jchs.harvard.edu/research/improving-americas-housing.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Definition of project category changes in 2007 so users are cautioned in making comparisons of project activity before and after this date. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
†Patio and terrace project activity included in Improvements to Lot or Yard before 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
††Project activity included in Improvements to Lot or Yard before 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"†††2015 data include improvements to landscaping or sprinkler systems, which were formerly out of scope of the survey. Professional landscaping projects were reported by 7.5% of all homeowners reporting one or more professional improvement projects in 2015 and expenditures amounted to 2.5% of national professional improvement spending. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: JCHS tabulations of the Department of Housing and Urban Development (HUD), 1995-2015 American Housing Surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
