Table 1
Table W-6.  Do-It-Yourself Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,,,,
Income Quintiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottom,"12,708","1,297","2,018","2,617",8.1%,"13,096","1,190","2,281","2,715",7.4%,"13,758","1,340","2,324","3,114",8.3%,"14,472","1,467","2,224","3,263",8.1%,"14,450","1,397","2,543","3,553",7.5%,"14,988","1,404","3,476","4,880",8.5%,"15,127","1,471","4,160","6,121",11.3%,"15,291","1,544","2,741","4,232",10.6%,"15,240","1,532","2,419","3,706",10.8%,"15,128","1,454","2,497","3,631",10.3%,"14,871","1,651","2,663","4,397",10.2%,,,,,,
Lower-Middle,"12,709","1,775","2,277","4,042",12.5%,"13,098","1,855","2,613","4,846",13.3%,"13,760","1,912","3,027","5,789",15.5%,"14,474","1,961","3,477","6,820",17.0%,"14,453","1,864","3,178","5,925",12.4%,"14,989","2,014","3,815","7,683",13.4%,"15,130","2,081","3,684","7,664",14.1%,"15,293","2,066","3,213","6,639",16.6%,"15,242","1,987","2,520","5,007",14.6%,"15,130","1,814","2,396","4,348",12.4%,"14,868","2,048","3,452","7,072",16.4%,,,,,,
Middle,"12,708","2,394","3,017","7,223",22.4%,"13,097","2,314","3,774","8,733",23.9%,"13,759","2,272","3,332","7,569",20.2%,"14,473","2,480","3,250","8,061",20.1%,"14,452","2,323","3,697","8,588",18.0%,"14,988","2,462","3,545","8,728",15.3%,"15,128","2,406","3,934","9,467",17.4%,"15,293","2,369","3,246","7,690",19.2%,"15,243","2,301","3,073","7,070",20.6%,"15,131","2,164","3,313","7,169",20.4%,"14,874","2,475","3,442","8,519",19.7%,,,,,,
Upper-Middle,"12,710","2,677","3,629","9,714",30.1%,"13,097","2,458","3,742","9,197",25.2%,"13,758","2,614","4,073","10,645",28.4%,"14,473","2,697","3,590","9,683",24.2%,"14,452","2,488","4,582","11,402",23.9%,"14,988","2,668","4,772","12,729",22.3%,"15,130","2,670","5,412","14,453",26.6%,"15,293","2,583","4,124","10,652",26.6%,"15,241","2,403","3,379","8,120",23.7%,"15,128","2,329","3,909","9,106",25.9%,"14,870","2,589","3,881","10,046",23.3%,,,,,,
Top,"12,710","2,166","4,000","8,666",26.9%,"13,099","2,116","5,197","10,997",30.1%,"13,761","2,125","4,861","10,330",27.6%,"14,474","2,192","5,588","12,251",30.6%,"14,452","2,170","8,374","18,175",38.1%,"14,989","2,292","10,111","23,170",40.5%,"15,131","2,249","7,402","16,647",30.6%,"15,294","2,235","4,847","10,830",27.0%,"15,243","2,129","4,864","10,356",30.2%,"15,132","2,073","5,256","10,898",31.0%,"14,875","2,391","5,495","13,137",30.4%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Value (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $100,000","19,328","3,182","2,102","6,688",20.7%,"19,024","3,020","2,726","8,233",22.6%,"19,902","3,055","2,234","6,825",18.2%,"17,792","2,766","2,020","5,587",13.9%,"16,921","2,538","2,665","6,763",14.2%,"17,170","2,513","2,904","7,298",12.8%,"15,928","2,284","2,694","6,153",11.3%,"18,514","2,772","2,648","7,340",18.3%,"19,130","2,875","2,173","6,246",18.2%,"19,076","2,565","2,522","6,468",18.4%,"18,201","2,850","2,803","7,990",18.5%,,,,,,
"$100-149,999","15,360","2,683","2,881","7,730",24.0%,"17,331","2,566","2,994","7,683",21.1%,"15,619","2,344","3,428","8,038",21.5%,"16,139","2,419","2,761","6,680",16.7%,"13,297","1,902","2,940","5,590",11.7%,"11,750","1,678","3,135","5,260",9.2%,"11,381","1,714","2,786","4,774",8.8%,"11,612","1,774","3,236","5,740",14.3%,"13,772","2,026","2,931","5,938",17.3%,"13,094","1,865","2,816","5,250",14.9%,"11,819","1,793","2,969","5,323",12.3%,,,,,,
"$150-199,999","9,193","1,537","3,232","4,967",15.4%,"9,411","1,585","3,790","6,008",16.5%,"10,624","1,726","3,175","5,479",14.6%,"10,149","1,623","3,191","5,179",12.9%,"11,779","1,785","4,490","8,016",16.8%,"10,020","1,621","3,560","5,772",10.1%,"8,203","1,299","3,718","4,828",8.9%,"11,644","1,854","3,362","6,232",15.6%,"11,323","1,693","3,024","5,120",14.9%,"11,606","1,662","3,013","5,009",14.3%,"10,457","1,802","3,664","6,602",15.3%,,,,,,
"$200-299,999","10,862","1,769","4,341","7,681",23.8%,"11,954","1,756","4,123","7,241",19.8%,"12,375","1,865","4,655","8,684",23.2%,"14,125","2,141","4,942","10,582",26.4%,"12,499","1,855","6,127","11,369",23.9%,"11,890","1,816","4,865","8,837",15.5%,"14,498","2,280","4,546","10,364",19.1%,"13,346","1,991","3,467","6,902",17.2%,"14,014","1,870","3,409","6,374",18.6%,"13,359","1,803","4,120","7,431",21.1%,"13,409","2,106","3,730","7,858",18.2%,,,,,,
"$300-399,999","4,484",650,"4,261","2,771",8.6%,"3,521",525,"5,724","3,004",8.2%,"4,617",644,"5,422","3,493",9.3%,"5,561",823,"4,528","3,727",9.3%,"7,481","1,003","6,107","6,123",12.9%,"8,420","1,215","5,823","7,075",12.4%,"7,282","1,064","7,584","8,071",14.8%,"8,531","1,126","4,953","5,576",13.9%,"7,181",862,"4,539","3,910",11.4%,"7,596",871,"4,620","4,023",11.4%,"7,827","1,129","4,938","5,576",12.9%,,,,,,
"$400,000 and Over","4,317",488,"4,965","2,424",7.5%,"4,245",479,"9,012","4,320",11.8%,"5,659",628,"7,848","4,929",13.2%,"8,600","1,025","8,118","8,322",20.8%,"10,281","1,161","8,428","9,783",20.5%,"15,692","1,995","11,500","22,948",40.1%,"18,353","2,237","9,014","20,161",37.1%,"12,819","1,280","6,447","8,254",20.6%,"10,789","1,026","6,501","6,671",19.5%,"10,919","1,070","6,517","6,971",19.8%,"12,648","1,474","6,666","9,822",22.8%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spending Level (2015 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under $2,500","8,454","4,865",767,"3,732",11.6%,"8,725","5,062",718,"3,634",10.0%,"9,033","5,040",727,"3,664",9.8%,"9,329","5,217",716,"3,737",9.3%,"8,632","4,918",735,"3,615",7.6%,"9,237","5,149",789,"4,061",7.1%,"8,882","4,944",728,"3,599",6.6%,"9,093","5,040",666,"3,354",8.4%,"9,366","4,962",690,"3,425",10.0%,"9,354","4,986",665,"3,315",9.4%,"8,623","4,858",721,"3,503",8.1%,,,,,,
"$2,500-4,999","3,742","1,843","2,172","4,003",12.4%,"3,594","1,630","2,249","3,666",10.0%,"3,649","1,719","2,312","3,974",10.6%,"3,874","1,904","2,340","4,456",11.1%,"3,574","1,734","2,428","4,210",8.8%,"3,553","1,709","2,550","4,357",7.6%,"3,479","1,652","2,317","3,829",7.0%,"3,679","1,725","2,227","3,842",9.6%,"3,664","1,638","2,352","3,854",11.2%,"3,327","1,340","2,382","3,193",9.1%,"3,461","1,652","2,311","3,817",8.8%,,,,,,
"$5,000-9,999","3,226","1,717","3,570","6,128",19.0%,"3,177","1,559","3,830","5,972",16.4%,"3,302","1,614","3,816","6,159",16.4%,"3,454","1,656","3,690","6,113",15.3%,"3,280","1,634","4,099","6,698",14.1%,"3,434","1,668","4,161","6,940",12.1%,"3,804","1,683","3,930","6,614",12.2%,"3,737","1,726","3,583","6,184",15.4%,"3,912","1,680","3,556","5,975",17.4%,"3,981","1,527","3,762","5,742",16.3%,"4,133","1,919","3,653","7,011",16.2%,,,,,,
"$10,000-24,999","2,482","1,360","6,592","8,967",27.8%,"2,286","1,157","7,815","9,041",24.8%,"2,461","1,306","7,607","9,932",26.5%,"2,624","1,372","7,015","9,622",24.0%,"2,493","1,284","8,268","10,616",22.3%,"2,928","1,504","8,034","12,086",21.1%,"3,411","1,672","7,199","12,035",22.1%,"3,134","1,516","7,162","10,854",27.1%,"3,346","1,448","6,459","9,354",27.3%,"3,426","1,355","6,933","9,395",26.7%,"3,880","1,883","6,688","12,593",29.2%,,,,,,
"$25,000-49,999",667,370,"13,989","5,170",16.0%,699,357,"16,350","5,841",16.0%,790,399,"14,715","5,865",15.7%,890,447,"15,079","6,733",16.8%,847,440,"17,317","7,616",16.0%,"1,041",511,"15,980","8,169",14.3%,"1,215",574,"15,116","8,674",16.0%,"1,131",506,"13,900","7,037",17.6%,"1,075",432,"13,596","5,868",17.1%,"1,109",408,"15,346","6,266",17.8%,"1,216",555,"13,050","7,249",16.8%,,,,,,
"$50,000 and Over",318,155,"27,411","4,262",13.2%,327,167,"49,955","8,334",22.8%,397,186,"42,291","7,853",21.0%,499,202,"46,540","9,417",23.5%,530,233,"63,870","14,888",31.2%,703,298,"72,360","21,577",37.7%,942,352,"55,640","19,601",36.1%,703,284,"30,885","8,772",21.9%,524,192,"30,142","5,785",16.9%,571,219,"33,042","7,240",20.6%,624,287,"31,324","8,998",20.8%,,,,,,
No projects,"44,654",,,,,"46,679",,,,,"49,163",,,,,"51,695",,,,,"52,902",,,,,"54,046",,,,,"53,911",,,,,"54,988",,,,,"54,322",,,,,"53,882",,,,,"52,423",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of Household Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 35,"9,561","2,268","3,083","6,991",21.7%,"9,325","2,069","3,248","6,720",18.4%,"9,765","1,980","3,461","6,852",18.3%,"10,301","2,072","3,687","7,639",19.1%,"10,334","2,014","5,754","11,591",24.3%,"10,627","2,091","4,385","9,168",16.0%,"10,363","2,010","4,839","9,726",17.9%,"10,378","2,045","3,486","7,128",17.8%,"9,380","1,794","3,541","6,353",18.5%,"8,916","1,528","4,037","6,166",17.5%,"6,986","1,409","3,697","5,211",12.1%,,,,,,
35-44,"14,746","3,084","3,527","10,876",33.7%,"15,473","2,992","4,640","13,884",38.0%,"15,868","3,102","4,148","12,866",34.4%,"16,373","3,162","4,618","14,605",36.4%,"15,412","2,808","5,671","15,925",33.4%,"15,416","2,753","5,813","16,002",28.0%,"14,786","2,581","5,779","14,912",27.4%,"14,926","2,581","4,155","10,724",26.8%,"12,844","2,137","3,818","8,160",23.8%,"12,173","1,894","4,182","7,922",22.5%,"11,743","2,230","4,195","9,356",21.7%,,,,,,
45-54,"13,446","2,420","3,521","8,519",26.4%,"14,237","2,334","3,468","8,094",22.2%,"15,223","2,334","3,666","8,557",22.9%,"16,674","2,647","3,590","9,500",23.7%,"16,654","2,553","4,258","10,870",22.8%,"17,307","2,781","6,808","18,936",33.1%,"17,538","2,830","5,655","16,005",29.4%,"17,750","2,769","3,849","10,658",26.6%,"17,016","2,636","3,280","8,646",25.2%,"16,316","2,472","3,689","9,119",25.9%,"15,968","2,741","4,022","11,026",25.5%,,,,,,
55-64,"9,492","1,327","2,855","3,787",11.7%,"9,959","1,365","3,982","5,435",14.9%,"10,743","1,443","3,876","5,591",14.9%,"11,487","1,517","3,248","4,926",12.3%,"12,512","1,611","3,563","5,739",12.0%,"13,789","1,814","4,792","8,693",15.2%,"14,693","1,967","4,793","9,428",17.3%,"14,940","1,923","3,559","6,845",17.1%,"16,667","2,163","3,112","6,730",19.6%,"16,623","2,133","3,176","6,774",19.3%,"17,674","2,655","4,137","10,986",25.4%,,,,,,
65 and Over,"16,299","1,212","1,723","2,088",6.5%,"16,493","1,173","2,009","2,356",6.5%,"17,196","1,404","2,550","3,581",9.6%,"17,530","1,401","2,433","3,408",8.5%,"17,346","1,257","2,799","3,518",7.4%,"17,802","1,400","3,136","4,390",7.7%,"18,266","1,489","2,874","4,280",7.9%,"18,472","1,478","3,172","4,688",11.7%,"20,302","1,621","2,695","4,370",12.8%,"21,622","1,809","2,858","5,171",14.7%,"21,988","2,119","3,112","6,593",15.3%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millennial (Born 1985+),,,,,,,,,,,3,,,,,58,6,937,6,0.0%,441,24,"4,733",114,0.2%,483,37,"18,403",673,1.2%,688,42,"2,118",88,0.2%,"1,294",184,"2,563",472,1.2%,"1,753",367,"3,258","1,194",3.5%,"2,906",468,"3,992","1,869",5.3%,"3,476",745,"3,892","2,901",6.7%,,,,,,
Generation-X (Born 1965-84),"4,513","1,042","2,845","2,964",9.2%,"6,732","1,497","3,023","4,527",12.4%,"9,762","1,980","3,461","6,852",18.3%,"12,888","2,571","3,856","9,912",24.7%,"15,206","2,997","5,789","17,349",36.4%,"18,686","3,564","4,844","17,263",30.2%,"18,098","3,441","5,040","17,342",31.9%,"24,009","4,442","3,913","17,380",43.4%,"23,490","4,023","3,694","14,859",43.4%,"24,079","3,918","3,965","15,535",44.2%,"24,517","4,485","3,962","17,769",41.2%,,,,,,
Baby Boom (Born 1945-64),"28,345","5,881","3,462","20,361",63.1%,"29,740","5,508","4,125","22,718",62.3%,"31,091","5,436","3,941","21,423",57.2%,"32,858","5,643","4,075","22,999",57.4%,"32,422","5,142","4,672","24,024",50.4%,"33,083","5,244","6,075","31,860",55.7%,"33,731","5,272","5,708","30,091",55.4%,"32,690","4,693","3,730","17,503",43.7%,"33,095","4,594","3,170","14,563",42.5%,"32,732","4,225","3,473","14,673",41.7%,"33,086","4,794","4,024","19,289",44.7%,,,,,,
Pre-Baby Boom (Born before 1945),"30,686","3,387","2,639","8,937",27.7%,"29,015","2,927","3,158","9,243",25.3%,"27,940","2,847","3,222","9,172",24.5%,"26,560","2,578","2,778","7,160",17.9%,"24,190","2,080","2,960","6,156",12.9%,"22,689","1,994","3,707","7,393",12.9%,"23,128","2,123","3,218","6,830",12.6%,"18,472","1,478","3,172","4,688",11.7%,"17,870","1,368","2,662","3,644",10.6%,"15,934","1,225","2,512","3,076",8.8%,"13,281","1,130","2,842","3,211",7.4%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"53,627","8,894","3,188","28,355",87.9%,"54,662","8,488","3,771","32,012",87.7%,"56,716","8,597","3,819","32,833",87.7%,"58,986","8,895","3,742","33,283",83.0%,"58,386","8,374","4,802","40,216",84.4%,"59,653","8,862","5,263","46,637",81.5%,"59,553","8,782","5,109","44,870",82.6%,"59,945","8,682","3,767","32,707",81.7%,"59,371","8,370","3,357","28,099",82.0%,"58,814","7,830","3,599","28,178",80.2%,"56,402","8,685","3,849","33,427",77.4%,,,,,,
Black,"5,033",601,"2,180","1,309",4.1%,"5,364",624,"3,244","2,025",5.5%,"5,917",628,"2,643","1,660",4.4%,"6,225",725,"2,261","1,639",4.1%,"6,045",641,"2,800","1,794",3.8%,"6,325",614,"3,792","2,328",4.1%,"6,333",602,"4,278","2,574",4.7%,"6,420",658,"2,816","1,853",4.6%,"6,506",613,"2,643","1,621",4.7%,"6,358",631,"2,946","1,859",5.3%,"6,497",719,"2,907","2,091",4.8%,,,,,,
Hispanic,"3,245",604,"3,092","1,867",5.8%,"3,646",630,"2,979","1,878",5.1%,"4,087",780,"2,864","2,234",6.0%,"4,734",890,"4,256","3,787",9.4%,"5,107",887,"4,500","3,994",8.4%,"5,752",956,"4,041","3,862",6.8%,"6,362","1,064","5,096","5,424",10.0%,"6,441","1,061","3,745","3,974",9.9%,"6,534",997,"3,269","3,258",9.5%,"6,739",988,"3,472","3,430",9.8%,"7,114","1,205","4,272","5,147",11.9%,,,,,,
Asian,"1,268",157,"3,480",545,1.7%,"1,394",136,"2,626",357,1.0%,"1,525",157,"1,949",305,0.8%,"1,774",197,"5,518","1,087",2.7%,"2,173",231,"5,532","1,280",2.7%,"2,579",281,"11,586","3,252",5.7%,"2,271",232,"3,546",824,1.5%,"2,477",219,"3,395",744,1.9%,"2,660",220,"3,724",819,2.4%,"3,085",283,"4,547","1,287",3.7%,"3,100",308,"5,021","1,545",3.6%,,,,,,
Multirace,370,54,"3,394",185,0.6%,421,54,"4,037",217,0.6%,551,101,"4,112",414,1.1%,646,91,"3,099",283,0.7%,548,109,"3,293",360,0.8%,632,127,"8,751","1,112",1.9%,"1,126",197,"3,359",660,1.2%,"1,183",177,"4,342",766,1.9%,"1,137",152,"3,054",463,1.4%,653,104,"3,851",399,1.1%,"1,246",238,"4,043",961,2.2%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nativity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native-born,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66,630","9,958","3,584","35,693",89.1%,"66,323","9,481","4,657","44,154",92.7%,"68,156","9,947","5,076","50,490",88.3%,"68,093","9,879","4,959","48,990",90.1%,"68,629","9,827","3,677","36,134",90.2%,"68,120","9,378","3,300","30,947",90.3%,"67,541","8,904","3,543","31,545",89.7%,"65,298","9,896","3,786","37,466",86.8%,,,,,,
Foreign-born,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,736",840,"5,221","4,384",10.9%,"5,935",762,"4,580","3,490",7.3%,"6,785",892,"7,511","6,700",11.7%,"7,552",998,"5,373","5,362",9.9%,"7,836",969,"4,033","3,910",9.8%,"8,088",974,"3,403","3,313",9.7%,"8,109",931,"3,873","3,607",10.3%,"9,062","1,258","4,535","5,705",13.2%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married without Children,"23,073","3,667","3,022","11,082",34.4%,"24,024","3,573","3,448","12,322",33.8%,"24,985","3,621","3,405","12,331",32.9%,"25,706","3,761","3,334","12,541",31.3%,"25,824","3,500","5,141","17,995",37.8%,"27,027","3,884","4,890","18,994",33.2%,"27,926","4,129","4,525","18,686",34.4%,"28,176","3,974","3,822","15,189",37.9%,"28,644","3,996","3,186","12,730",37.2%,"28,734","3,854","3,493","13,465",38.3%,"29,250","4,484","4,046","18,141",42.0%,,,,,,
Married with Children,"18,148","4,158","3,676","15,284",47.4%,"18,616","3,984","4,309","17,165",47.0%,"19,137","3,992","4,133","16,497",44.1%,"19,555","4,112","4,369","17,966",44.8%,"19,447","3,813","5,142","19,604",41.1%,"19,590","3,858","5,629","21,715",38.0%,"19,063","3,710","5,793","21,492",39.5%,"19,316","3,660","4,154","15,206",38.0%,"17,318","3,190","3,757","11,985",35.0%,"16,808","3,002","4,057","12,181",34.7%,"15,314","3,132","3,986","12,483",28.9%,,,,,,
Single Parent,"3,420",577,"2,255","1,301",4.0%,"3,384",508,"2,741","1,392",3.8%,"3,580",571,"2,272","1,297",3.5%,"4,202",651,"2,243","1,461",3.6%,"4,115",637,"3,248","2,070",4.3%,"4,315",675,"7,412","5,000",8.7%,"4,164",629,"4,119","2,593",4.8%,"4,038",633,"2,648","1,675",4.2%,"3,938",570,"3,022","1,723",5.0%,"3,919",488,"4,768","2,329",6.6%,"3,339",530,"3,089","1,637",3.8%,,,,,,
Other Family,"5,006",614,"2,369","1,456",4.5%,"4,377",499,"2,159","1,077",3.0%,"4,723",556,"3,409","1,895",5.1%,"4,951",546,"2,763","1,509",3.8%,"4,860",580,"3,231","1,874",3.9%,"5,016",609,"6,301","3,837",6.7%,"5,062",564,"3,190","1,799",3.3%,"5,288",653,"2,741","1,790",4.5%,"5,776",672,"2,628","1,765",5.2%,"5,845",679,"2,647","1,799",5.1%,"6,068",846,"3,349","2,832",6.6%,,,,,,
Single Person,"11,878",969,"2,144","2,078",6.4%,"12,992","1,010","2,987","3,016",8.3%,"14,147","1,170","3,153","3,690",9.9%,"15,425","1,301","3,391","4,410",11.0%,"15,450","1,305","3,448","4,500",9.4%,"16,205","1,348","3,923","5,287",9.2%,"16,681","1,405","5,454","7,660",14.1%,"16,781","1,392","3,396","4,726",11.8%,"17,586","1,462","3,175","4,641",13.5%,"17,534","1,405","2,957","4,153",11.8%,"17,188","1,631","3,809","6,215",14.4%,,,,,,
Non-Family,"2,018",324,"3,276","1,061",3.3%,"2,093",358,"4,228","1,515",4.2%,"2,223",353,"4,922","1,738",4.6%,"2,525",427,"5,137","2,191",5.5%,"2,563",407,"3,929","1,600",3.4%,"2,789",466,"5,061","2,356",4.1%,"2,750",440,"4,825","2,121",3.9%,"2,866",485,"3,002","1,457",3.6%,"2,947",462,"3,060","1,415",4.1%,"2,810",407,"3,018","1,227",3.5%,"3,200",532,"3,499","1,863",4.3%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Built,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre 1940,"11,068","1,857","3,587","6,659",20.6%,"11,254","1,805","5,066","9,145",25.1%,"11,548","1,852","4,766","8,827",23.6%,"11,476","1,860","3,843","7,150",17.8%,"11,009","1,719","4,901","8,424",17.7%,"10,676","1,631","4,325","7,053",12.3%,"10,303","1,527","4,831","7,377",13.6%,"10,128","1,684","3,790","6,383",15.9%,"9,782","1,488","3,583","5,330",15.6%,"9,668","1,438","3,786","5,445",15.5%,"8,952","1,443","4,797","6,922",16.0%,,,,,,
